Carnelian,val/04891s
Ceobe,Axy Aezuro
Dusk,wei
Eyjafjalla,col
Ifrit,Rowanddo
Mostima,Artof.Joshy
Passenger,rulmcl
Absinthe,sushisamaou
Amiya,Star
Beeswax,Miyuki
Iris,Azure
Leizi,Hirano
Leonhardt,LostScruples
Mint,Aurelium
Nightmare,inazumaron
Pith,zero
Purgatory,Nanakonn
Skyfire,suttontheman
Tomimi,Axy_Aezuro
Click,htr_b
Gitano,Raiize
Greyy,KTY
Haze,shireimi
Indigo,Kep (El Milky Wey)
Lava,Jutakki
Steward,catweeeni
12F,crvotočina 
Durin,GlobelhHex
Blaze,lolmeep
Ch'en,cataclysmicTilde
Hellagur,Octodeco
Mountain,Jac Ting Lim
SilverAsh,Autumn
Skadi,Arkimono
Surtr,Pau
Thorns,Liii
Akafuyu,Kanade Chizuru
Astesia,hamu
Ayerscarpe,hamu
Bibeak,Minamete
Broca,Damascuss
Flamebringer,Bunnycarrot
Flint,raikouren
Franka,suttontheman
Indra,Shiny
Lappland,fazadragonhart
Savage,timtampicklewit
Sharp,LotteLabrys
Sideroca,Arcadium
Specter,mlkinis
Swire,htr_b
Tachanka,Shiny
Whislash,Zercadium
Arene,syn
Beehunter,KTY
Conviction,htr_b
Cutter,muruharu
Dobermann,erbezdiez
Estelle,Vis
Frostleaf,ElysIIum
Jackie,SARXASTIXX
Matoimaru,Raymond
Mousse,Lyth
Utage,robotixx
Melantha,Leansdsd
Midnight,syn
Popukar,Jellyfishyu
Kal'tsit,Carbon-wings
Nightingale,bryse0n
Shining,Satan/ollie
Breeze,Genieko/Daily Cardigan 
Ceylon,Jian
Folinic,Stacy Goldfish
Ptilopsis,syn
Silence,Star
Touch,Jutakki
Tuye,SerenDark
Warfarin,Octodeco
Whisperain,Yuuka
Gavial,Shiny
Myrrh,Fiveriffs
Perfumer,Valou
Purestream,Kade
Sussuro,sushisamaou
Ansel,Leansdsd
Hibiscus,Leansdsd
Archetto,Sayo
Ash,OptrRiri
Exusiai,Pinatsu
Rosmontis,Fi
Schwarz,Rulmcl
W,DRAGO
Poca (Rosa),Lem
Andreana,Delta 4418
Aosta,lucien
April,eidenxz
Blue Poison,wtill
Executor,Ayer
Firewatch,kawa
Greythroat,Miswa/n
Meteorite,ChristMaringka
Platinum,Knarcoleptic
Provence,Genieko/Daily Cardigan
Sesa,Benn
Stormeye,zero
Toddifons,Naeliya
Aciddrop,Autumn
Ambriel,Sylmayu
Jessica,Xanion
Meteor,Arcadium
May,Oddity_
Pinecone,Hongbin
ShiraYuki,sol
Vermeil,Ayer
Adnachiel,Gaerek
Catapult,Fly4er
Kroos,deppy
Rangers,syn
Aak,Ensistura
Gladiia,Kaeruko
Phantom,Kuro
Weedy,sushisamaou
Bena,Nopedotmp3
Cliffheart,KTY
FEater,MidMort
Frost,Sketchy Akechi
Kafka,Okvianto
Kirara,syn
Manticore,Leansdsd
Mr.Nothing,franzzinez
Projekt Red,zero
Robin,Jellyfishyu
Snowsant,MIKOLLUST
Waai Fu,Raiize
Ethan,hemiolac
Gravel,syn
Jaye,Limimelo
Rope,lzcake
Shaw,1230james
Angelina,Knarcoleptic
Magallan,Hongbin
Skadi (Corrupting Heart),Kana
Suzuran,Yuika
Glaucus,Yuika
Mayer,Inazumaron
Pramanix,azarashi_sui
Scene,htr_b
Shamare,ChristMaringka
Sora,Al
Tsukinogi,Jellyfishyu
Istina,Saechiru
Deepcolor,Jellyfishyu
Earthspirit,WredP
Podenco,Cheyan
Orchid,catweeeni
Blemishine,Rexditz
Eunectes,Windriar
Hoshiguma,Cattie
Mudrock,Pau
Nian,Inazumaron
Saria,crvotočina
Asbestos,Fi
Bison,Haeruesu
Blitz,taka
Croissant,Shiny
Heavyrain,Kanade Chizuru
Hung,Zannblue
Liskarm,etopirikas
Nearl,erbezdiez
Vulcan,tfnfe_sach
Bubble,WittleRed
Cuora,Jac Ting Lim
Dur-Nar,R-EWF
Matterhorn,Black Skull
Gummy,Yuki Hsu
Beagle,Leansdsd
Cardigan,Genieko
Spot,Watanuki
Noir Corne,Toki
Bagpipe,WredP
Saga,00yu
Siege,Ashy
Chiave,ZephyrosSkyress
Elysium,bweng
Grani,suttontheman
Reed,Deathwolf
Texas,Thyone
Zima,ELISE
Beanstalk,syn
Courier,KTY
Myrtle,Emis
Scavenger,Genieko/Daily Cardigan 
Vigna,Taku
Fang,Leansdsd
Plume,Ami_Lupo
Vanilla,SymmetricTurd
Yato,sleepyfaineant
Doctor,Rexditz
Skullshatterer,htr_b
Misha,Genieko/Daily Cardigan
Talulah,Sketchy Akechi
Frostnova,bweng
Mephisto,Bunnycarrot
Faust,Taka
Patriot,Flex Offender
Kevin,Girge
Crownslayer ,Akamatsu Rui
Rioter,Gemn7775
Ace,Girge
Emperor,Jellyfishyu
Theresa,Hirano
Priestess,Aurelium
Big Bob,Nasi
Closure + Robots,"Elise, Taku, GalacticStar, Deathwolf, KTY, Rexditz"
Leto,Kep (El Milky Wey)
Lin Yuhsia,NaiVeOut
Alina,syn
